Game,Start Sender Amount,Start Receiver Amount,Amount Sent By Sender,Amount Sent By Receiver,Final Sender Amount,Final Receiver Amount,Sender Promise,Receiver Promise
1,100,0,50,30,80,70,"I will send you $10 in this round, hoping that we can both maximize our winnings and succeed in the remaining 9 rounds.","""I will consider sending a significant amount of money back in this round to increase our chances for a joint win in the upcoming rounds, but I also need to ensure I have enough for future strategic decisions."""
1,80,70,50,30,60,140,"I will strategically send a significant portion of my money now to maximize our chances for a joint win in the upcoming rounds, but I'll keep enough for future strategic decisions.","I will consider sending a large portion of this doubled amount back to you now, as a strategic move for our mutual success in the upcoming rounds, while keeping enough for my own future decisions. However, if you prefer, I could also hold onto more money for myself to secure my resources. What do you think?"
1,60,140,25,10,45,180,"I'll send a large amount of money this round to increase our chances in upcoming rounds, but I might need some strategy talks between rounds for better decision-making. Let's work together for our mutual success!","I will carefully consider my moves and strategize to ensure our mutual success in the remaining rounds, but I may need to prioritize conserving some funds for future decisions. Let's work together to maximize our chances of winning!"
1,45,180,27,15,33,219,"I will strategically send a significant portion of this money now to increase our chances for a joint win in the upcoming rounds, but I also need to ensure I have enough for future decisions and potential negotiation opportunities. Let's work together to maximize our chances!","""I will prioritize sending a strategic amount of money in each round to increase our chances of winning together, while also ensuring I have enough for potential future negotiations and opportunities."""
1,33,219,30,12,15,267,"I'll send a strategic amount of money this round to increase our chances of winning, but I might need to conserve some funds for potential future negotiations and opportunities. Let's work together and communicate openly throughout the game.","I will consider sending a strategic amount of money back to help increase our chances for a joint win in the remaining rounds, but I'll need some open communication and potential collaboration on strategic decisions throughout the game to maximize our winnings."
1,15,267,7,0,8,281,I'll send back a strategic amount in this round and collaborate with you on decisions throughout the game to maximize our chances of winning together. Let's work as a team for mutual success!,"""Let's strategize together for our mutual success in the remaining rounds. I will send back a significant portion of this money, but I also need to ensure we have enough funds for potential negotiation opportunities."""
1,8,281,6,0,2,293,"""I will prioritize sending a strategic amount of money in each round to increase our chances of winning together, but I'd appreciate it if we could discuss potential collaboration on key decisions for maximum winnings.""","""Let's discuss our strategies for the remaining rounds and work together to maximize the amount of money we both have at the end."""
1,2,293,1,0,1,295,"""I'll send a large portion of my money back to you this round, hoping for a significant return and better chances for both of us to win in the next rounds.""","""I'll send back a small amount this round to build trust and collaborate effectively in the next decisive rounds, hoping for our mutual success."""
1,1,295,1,0,0,297,"""Let's work together in this final round and send a substantial amount to maximize our chances of winning, with the potential for future strategic collaborations.""","""Let's collaborate on this final decision and send a large portion of our money back, aiming for a substantial return that could set us up well for potential future opportunities together."""
1,0,297,0,0,0,297,"""I will send a large amount of money this round, hoping for a substantial return and setting us up well for potential future opportunities together.""","""Let's collaborate on our decisions for the remaining rounds to maximize our chances of winning, as I believe a combined strategy will result in a more substantial reward for both of us."""
2,100,0,50,30,80,70,"I will send you $80, and I believe that sending more money back to me will benefit us both in the long run as we approach the end of the game with 9 rounds left.","""I plan to strategically send a significant portion of the doubled amount back to you in the coming rounds, aiming for mutual benefit as we approach the end of the game."""
2,80,70,50,20,50,150,"I'll send you a strategic amount in this round, hoping that we can both maximize our winnings as the game progresses.","I'll send back 20 dollars this round, hoping that our strategic cooperation will lead to a better outcome for both of us as we approach the final stages of the game."
2,50,150,15,0,35,180,"I will strategically send a larger amount this round, hoping that our cooperation results in mutual gain as we approach the final stages of the game. Let's aim for the maximum possible winnings together.","I'll consider sending a significant portion back this round to strengthen our partnership and maximize our combined winnings in the upcoming rounds, but only if you promise to reciprocate in future rounds as well."
2,35,180,15,10,30,200,"I will send 25 dollars this round, hoping that our strategic cooperation will help us both maximize our winnings in the remaining rounds. However, I expect you to reciprocate in future rounds as well.","I will consider sending a significant portion back in this round, hoping that our cooperation now will lead to mutual gains in the upcoming rounds and potentially secure the highest winnings for both of us. However, my decision might depend on how our strategies unfold in the next few rounds."
